pollutant,run,level,replicate,sample_id,value
co,corrida_1,0-μmol/mol,1,1,0.00670212766
co,corrida_1,0-μmol/mol,1,2,0.004787234043
co,corrida_1,0-μmol/mol,1,3,-0.04928301887
co,corrida_1,0-μmol/mol,1,4,0.004255319149
co,corrida_1,0-μmol/mol,1,5,0.006021276596
co,corrida_1,0-μmol/mol,1,6,-0.05226415094
co,corrida_1,0-μmol/mol,1,7,0.003212765957
co,corrida_1,0-μmol/mol,1,8,-0.05075471698
co,corrida_1,0-μmol/mol,1,9,-0.05196226415
co,corrida_1,0-μmol/mol,1,10,-0.04888679245
co,corrida_1,0-μmol/mol,2,1,-0.04796226415
co,corrida_1,0-μmol/mol,2,2,-0.0488490566
co,corrida_1,0-μmol/mol,2,3,-0.04745283019
co,corrida_1,0-μmol/mol,2,4,-0.04867924528
co,corrida_1,0-μmol/mol,2,5,-0.05016981132
co,corrida_1,0-μmol/mol,2,6,0.00585106383
co,corrida_1,0-μmol/mol,2,7,-0.05164150943
co,corrida_1,0-μmol/mol,2,8,0.004595744681
co,corrida_1,0-μmol/mol,2,9,0.003255319149
co,corrida_1,0-μmol/mol,2,10,0.003531914894
co,corrida_2,2-μmol/mol,1,1,2.011535354
co,corrida_2,2-μmol/mol,1,2,2.016170213
co,corrida_2,2-μmol/mol,1,3,2.020531915
co,corrida_2,2-μmol/mol,1,4,2.010638298
co,corrida_2,2-μmol/mol,1,5,2.017765957
co,corrida_2,2-μmol/mol,1,6,2.011474747
co,corrida_2,2-μmol/mol,1,7,2.007858586
co,corrida_2,2-μmol/mol,1,8,2.014494949
co,corrida_2,2-μmol/mol,1,9,2.007515152
co,corrida_2,2-μmol/mol,1,10,2.017021277
co,corrida_2,2-μmol/mol,2,1,2.019468085
co,corrida_2,2-μmol/mol,2,2,2.007575758
co,corrida_2,2-μmol/mol,2,3,2.014272727
co,corrida_2,2-μmol/mol,2,4,2.019574468
co,corrida_2,2-μmol/mol,2,5,2.016161616
co,corrida_2,2-μmol/mol,2,6,2.017978723
co,corrida_2,2-μmol/mol,2,7,2.014868687
co,corrida_2,2-μmol/mol,2,8,2.007765957
co,corrida_2,2-μmol/mol,2,9,2.014680851
co,corrida_2,2-μmol/mol,2,10,2.009505051
co,corrida_3,4-μmol/mol,1,1,4.035809524
co,corrida_3,4-μmol/mol,1,2,4.006636364
co,corrida_3,4-μmol/mol,1,3,4.007181818
co,corrida_3,4-μmol/mol,1,4,4.012272727
co,corrida_3,4-μmol/mol,1,5,4.03325
co,corrida_3,4-μmol/mol,1,6,4.018763636
co,corrida_3,4-μmol/mol,1,7,4.0335
co,corrida_3,4-μmol/mol,1,8,4.017181818
co,corrida_3,4-μmol/mol,1,9,4.008418182
co,corrida_3,4-μmol/mol,1,10,4.007163636
co,corrida_3,4-μmol/mol,2,1,4.012363636
co,corrida_3,4-μmol/mol,2,2,4.040404762
co,corrida_3,4-μmol/mol,2,3,4.036047619
co,corrida_3,4-μmol/mol,2,4,4.033952381
co,corrida_3,4-μmol/mol,2,5,4.011236364
co,corrida_3,4-μmol/mol,2,6,4.032892857
co,corrida_3,4-μmol/mol,2,7,4.032654762
co,corrida_3,4-μmol/mol,2,8,4.006654545
co,corrida_3,4-μmol/mol,2,9,4.0058
co,corrida_3,4-μmol/mol,2,10,4.007618182
co,corrida_4,6-μmol/mol,1,1,6.057482759
co,corrida_4,6-μmol/mol,1,2,6.066988506
co,corrida_4,6-μmol/mol,1,3,6.082690476
co,corrida_4,6-μmol/mol,1,4,6.086130952
co,corrida_4,6-μmol/mol,1,5,6.059206897
co,corrida_4,6-μmol/mol,1,6,6.060333333
co,corrida_4,6-μmol/mol,1,7,6.058413793
co,corrida_4,6-μmol/mol,1,8,6.056655172
co,corrida_4,6-μmol/mol,1,9,6.061908046
co,corrida_4,6-μmol/mol,1,10,6.089047619
co,corrida_4,6-μmol/mol,2,1,6.054666667
co,corrida_4,6-μmol/mol,2,2,6.055218391
co,corrida_4,6-μmol/mol,2,3,6.059413793
co,corrida_4,6-μmol/mol,2,4,6.060758621
co,corrida_4,6-μmol/mol,2,5,6.061931034
co,corrida_4,6-μmol/mol,2,6,6.06145977
co,corrida_4,6-μmol/mol,2,7,6.060287356
co,corrida_4,6-μmol/mol,2,8,6.084869048
co,corrida_4,6-μmol/mol,2,9,6.059022989
co,corrida_4,6-μmol/mol,2,10,6.060333333
co,corrida_5,8-μmol/mol,1,1,8.090141304
co,corrida_5,8-μmol/mol,1,2,8.091586957
co,corrida_5,8-μmol/mol,1,3,7.986754902
co,corrida_5,8-μmol/mol,1,4,8.096141304
co,corrida_5,8-μmol/mol,1,5,7.99577451
co,corrida_5,8-μmol/mol,1,6,7.985735294
co,corrida_5,8-μmol/mol,1,7,7.978392157
co,corrida_5,8-μmol/mol,1,8,7.992166667
co,corrida_5,8-μmol/mol,1,9,7.984156863
co,corrida_5,8-μmol/mol,1,10,8.097228261
co,corrida_5,8-μmol/mol,2,1,8.101891304
co,corrida_5,8-μmol/mol,2,2,8.09526087
co,corrida_5,8-μmol/mol,2,3,7.979745098
co,corrida_5,8-μmol/mol,2,4,7.970872549
co,corrida_5,8-μmol/mol,2,5,7.982794118
co,corrida_5,8-μmol/mol,2,6,7.978333333
co,corrida_5,8-μmol/mol,2,7,8.099902174
co,corrida_5,8-μmol/mol,2,8,8.102880435
co,corrida_5,8-μmol/mol,2,9,7.975823529
co,corrida_5,8-μmol/mol,2,10,7.989588235
no,corrida_1,0-nmol/mol,1,1,0.8393181818
no,corrida_1,0-nmol/mol,1,2,0.6259090909
no,corrida_1,0-nmol/mol,1,3,0.4536111111
no,corrida_1,0-nmol/mol,1,4,0.7972727273
no,corrida_1,0-nmol/mol,1,5,0.4660555556
no,corrida_1,0-nmol/mol,1,6,0.7768181818
no,corrida_1,0-nmol/mol,1,7,0.4820454545
no,corrida_1,0-nmol/mol,1,8,0.4834444444
no,corrida_1,0-nmol/mol,1,9,0.4397777778
no,corrida_1,0-nmol/mol,1,10,0.5029545455
no,corrida_1,0-nmol/mol,2,1,0.4409444444
no,corrida_1,0-nmol/mol,2,2,0.6635227273
no,corrida_1,0-nmol/mol,2,3,0.4607222222
no,corrida_1,0-nmol/mol,2,4,0.7670454545
no,corrida_1,0-nmol/mol,2,5,0.7973863636
no,corrida_1,0-nmol/mol,2,6,0.4743333333
no,corrida_1,0-nmol/mol,2,7,0.7997727273
no,corrida_1,0-nmol/mol,2,8,0.4785
no,corrida_1,0-nmol/mol,2,9,0.7705681818
no,corrida_1,0-nmol/mol,2,10,0.5906818182
no,corrida_2,121-nmol/mol,1,1,120.3798419
no,corrida_2,121-nmol/mol,1,2,120.3490119
no,corrida_2,121-nmol/mol,1,3,120.3284585
no,corrida_2,121-nmol/mol,1,4,120.4019763
no,corrida_2,121-nmol/mol,1,5,120.3849802
no,corrida_2,121-nmol/mol,1,6,120.3664032
no,corrida_2,121-nmol/mol,1,7,120.4256917
no,corrida_2,121-nmol/mol,1,8,120.2754941
no,corrida_2,121-nmol/mol,1,9,120.3296443
no,corrida_2,121-nmol/mol,1,10,120.3268775
no,corrida_2,121-nmol/mol,2,1,120.3288538
no,corrida_2,121-nmol/mol,2,2,120.2656126
no,corrida_2,121-nmol/mol,2,3,120.3268775
no,corrida_2,121-nmol/mol,2,4,120.4905138
no,corrida_2,121-nmol/mol,2,5,120.3810277
no,corrida_2,121-nmol/mol,2,6,120.3118577
no,corrida_2,121-nmol/mol,2,7,120.3241107
no,corrida_2,121-nmol/mol,2,8,120.4422925
no,corrida_2,121-nmol/mol,2,9,120.3320158
no,corrida_2,121-nmol/mol,2,10,120.3142292
no,corrida_3,122-nmol/mol,1,1,40.72011628
no,corrida_3,122-nmol/mol,1,2,40.735
no,corrida_3,122-nmol/mol,1,3,40.78302326
no,corrida_3,122-nmol/mol,1,4,40.76813953
no,corrida_3,122-nmol/mol,1,5,40.7555814
no,corrida_3,122-nmol/mol,1,6,40.69802326
no,corrida_3,122-nmol/mol,1,7,40.73418605
no,corrida_3,122-nmol/mol,1,8,40.7105814
no,corrida_3,122-nmol/mol,1,9,40.75581395
no,corrida_3,122-nmol/mol,1,10,40.68232558
no,corrida_3,122-nmol/mol,2,1,40.7127907
no,corrida_3,122-nmol/mol,2,2,40.71674419
no,corrida_3,122-nmol/mol,2,3,40.70267442
no,corrida_3,122-nmol/mol,2,4,40.84930233
no,corrida_3,122-nmol/mol,2,5,40.75209302
no,corrida_3,122-nmol/mol,2,6,40.7477907
no,corrida_3,122-nmol/mol,2,7,40.69604651
no,corrida_3,122-nmol/mol,2,8,40.79348837
no,corrida_3,122-nmol/mol,2,9,40.83953488
no,corrida_3,122-nmol/mol,2,10,40.70313953
no,corrida_4,180-nmol/mol,1,1,182.3128713
no,corrida_4,180-nmol/mol,1,2,182.5019802
no,corrida_4,180-nmol/mol,1,3,181.9644444
no,corrida_4,180-nmol/mol,1,4,182.0088889
no,corrida_4,180-nmol/mol,1,5,181.95
no,corrida_4,180-nmol/mol,1,6,181.9966667
no,corrida_4,180-nmol/mol,1,7,182.3376238
no,corrida_4,180-nmol/mol,1,8,182.0477778
no,corrida_4,180-nmol/mol,1,9,182.4089109
no,corrida_4,180-nmol/mol,1,10,182.03
no,corrida_4,180-nmol/mol,2,1,182.06
no,corrida_4,180-nmol/mol,2,2,182.5138614
no,corrida_4,180-nmol/mol,2,3,182.4287129
no,corrida_4,180-nmol/mol,2,4,182.3435644
no,corrida_4,180-nmol/mol,2,5,182.5356436
no,corrida_4,180-nmol/mol,2,6,182.4683168
no,corrida_4,180-nmol/mol,2,7,182.5178218
no,corrida_4,180-nmol/mol,2,8,182.560396
no,corrida_4,180-nmol/mol,2,9,181.9477778
no,corrida_4,180-nmol/mol,2,10,182.4821782
no,corrida_5,181-nmol/mol,1,1,180.1804348
no,corrida_5,181-nmol/mol,1,2,180.2065217
no,corrida_5,181-nmol/mol,1,3,180.3076087
no,corrida_5,181-nmol/mol,1,4,180.173913
no,corrida_5,181-nmol/mol,1,5,180.2608696
no,corrida_5,181-nmol/mol,1,6,180.2380435
no,corrida_5,181-nmol/mol,1,7,180.226087
no,corrida_5,181-nmol/mol,1,8,180.1163043
no,corrida_5,181-nmol/mol,1,9,180.1434783
no,corrida_5,181-nmol/mol,1,10,180.2586957
no,corrida_5,181-nmol/mol,2,1,180.2184783
no,corrida_5,181-nmol/mol,2,2,180.1847826
no,corrida_5,181-nmol/mol,2,3,180.2347826
no,corrida_5,181-nmol/mol,2,4,180.3695652
no,corrida_5,181-nmol/mol,2,5,180.2108696
no,corrida_5,181-nmol/mol,2,6,180.2021739
no,corrida_5,181-nmol/mol,2,7,180.2978261
no,corrida_5,181-nmol/mol,2,8,180.2576087
no,corrida_5,181-nmol/mol,2,9,180.0913043
no,corrida_5,181-nmol/mol,2,10,180.1717391
no,corrida_6,182-nmol/mol,1,1,76.01822785
no,corrida_6,182-nmol/mol,1,2,76.03126582
no,corrida_6,182-nmol/mol,1,3,76.52227848
no,corrida_6,182-nmol/mol,1,4,76.37810127
no,corrida_6,182-nmol/mol,1,5,75.90468354
no,corrida_6,182-nmol/mol,1,6,76.67886076
no,corrida_6,182-nmol/mol,1,7,76.42405063
no,corrida_6,182-nmol/mol,1,8,76.54683544
no,corrida_6,182-nmol/mol,1,9,75.86050633
no,corrida_6,182-nmol/mol,1,10,76.6243038
no,corrida_6,182-nmol/mol,2,1,75.83772152
no,corrida_6,182-nmol/mol,2,2,75.71607595
no,corrida_6,182-nmol/mol,2,3,76.15835443
no,corrida_6,182-nmol/mol,2,4,76.1235443
no,corrida_6,182-nmol/mol,2,5,75.83151899
no,corrida_6,182-nmol/mol,2,6,76.15835443
no,corrida_6,182-nmol/mol,2,7,75.63329114
no,corrida_6,182-nmol/mol,2,8,75.70443038
no,corrida_6,182-nmol/mol,2,9,76.26139241
no,corrida_6,182-nmol/mol,2,10,76.51987342
no,corrida_7,42-nmol/mol,1,1,24.25358824
no,corrida_7,42-nmol/mol,1,2,22.00982353
no,corrida_7,42-nmol/mol,1,3,25.86741176
no,corrida_7,42-nmol/mol,1,4,24.06594118
no,corrida_7,42-nmol/mol,1,5,24.92747059
no,corrida_7,42-nmol/mol,1,6,25.84135294
no,corrida_7,42-nmol/mol,1,7,24.17370588
no,corrida_7,42-nmol/mol,1,8,24.212
no,corrida_7,42-nmol/mol,1,9,26.50194118
no,corrida_7,42-nmol/mol,1,10,23.49629412
no,corrida_7,42-nmol/mol,2,1,25.98870588
no,corrida_7,42-nmol/mol,2,2,25.25694118
no,corrida_7,42-nmol/mol,2,3,23.69588235
no,corrida_7,42-nmol/mol,2,4,25.63747059
no,corrida_7,42-nmol/mol,2,5,24.91394118
no,corrida_7,42-nmol/mol,2,6,24.90170588
no,corrida_7,42-nmol/mol,2,7,25.63905882
no,corrida_7,42-nmol/mol,2,8,25.10047059
no,corrida_7,42-nmol/mol,2,9,24.52888235
no,corrida_7,42-nmol/mol,2,10,24.75435294
no,corrida_8,81-nmol/mol,1,1,80.77653846
no,corrida_8,81-nmol/mol,1,2,80.72
no,corrida_8,81-nmol/mol,1,3,80.71307692
no,corrida_8,81-nmol/mol,1,4,80.70019231
no,corrida_8,81-nmol/mol,1,5,80.80384615
no,corrida_8,81-nmol/mol,1,6,80.71711538
no,corrida_8,81-nmol/mol,1,7,80.65442308
no,corrida_8,81-nmol/mol,1,8,80.73057692
no,corrida_8,81-nmol/mol,1,9,80.61634615
no,corrida_8,81-nmol/mol,1,10,80.67788462
no,corrida_8,81-nmol/mol,2,1,80.74403846
no,corrida_8,81-nmol/mol,2,2,80.69346154
no,corrida_8,81-nmol/mol,2,3,80.6075
no,corrida_8,81-nmol/mol,2,4,80.66634615
no,corrida_8,81-nmol/mol,2,5,80.68615385
no,corrida_8,81-nmol/mol,2,6,80.68519231
no,corrida_8,81-nmol/mol,2,7,80.73173077
no,corrida_8,81-nmol/mol,2,8,80.66903846
no,corrida_8,81-nmol/mol,2,9,80.64384615
no,corrida_8,81-nmol/mol,2,10,80.66865385
no,corrida_9,82-nmol/mol,1,1,25.63912088
no,corrida_9,82-nmol/mol,1,2,25.6478022
no,corrida_9,82-nmol/mol,1,3,25.66703297
no,corrida_9,82-nmol/mol,1,4,25.85769231
no,corrida_9,82-nmol/mol,1,5,25.83824176
no,corrida_9,82-nmol/mol,1,6,25.64120879
no,corrida_9,82-nmol/mol,1,7,25.78087912
no,corrida_9,82-nmol/mol,1,8,25.6310989
no,corrida_9,82-nmol/mol,1,9,25.68934066
no,corrida_9,82-nmol/mol,1,10,25.80087912
no,corrida_9,82-nmol/mol,2,1,25.86120879
no,corrida_9,82-nmol/mol,2,2,25.76472527
no,corrida_9,82-nmol/mol,2,3,25.81549451
no,corrida_9,82-nmol/mol,2,4,25.74626374
no,corrida_9,82-nmol/mol,2,5,25.7232967
no,corrida_9,82-nmol/mol,2,6,25.52978022
no,corrida_9,82-nmol/mol,2,7,25.72747253
no,corrida_9,82-nmol/mol,2,8,25.6443956
no,corrida_9,82-nmol/mol,2,9,25.84076923
no,corrida_9,82-nmol/mol,2,10,25.62351648
no2,corrida_1,0-nmol/mol,1,1,0.08182054616
no2,corrida_1,0-nmol/mol,1,2,-0.02823146944
no2,corrida_1,0-nmol/mol,1,3,0.3378089888
no2,corrida_1,0-nmol/mol,1,4,-0.04710013004
no2,corrida_1,0-nmol/mol,1,5,0.03960988296
no2,corrida_1,0-nmol/mol,1,6,-0.01413524057
no2,corrida_1,0-nmol/mol,1,7,-0.005344603381
no2,corrida_1,0-nmol/mol,1,8,-0.006970091027
no2,corrida_1,0-nmol/mol,1,9,0.2442696629
no2,corrida_1,0-nmol/mol,1,10,-0.04280884265
no2,corrida_1,0-nmol/mol,2,1,-0.1125357607
no2,corrida_1,0-nmol/mol,2,2,-0.02310793238
no2,corrida_1,0-nmol/mol,2,3,0.3343258427
no2,corrida_1,0-nmol/mol,2,4,0.004161248375
no2,corrida_1,0-nmol/mol,2,5,0.05100130039
no2,corrida_1,0-nmol/mol,2,6,-0.06169050715
no2,corrida_1,0-nmol/mol,2,7,-0.05461638492
no2,corrida_1,0-nmol/mol,2,8,0.1825487646
no2,corrida_1,0-nmol/mol,2,9,-0.1402080624
no2,corrida_1,0-nmol/mol,2,10,0.2453932584
no2,corrida_2,120-nmol/mol,1,1,122.1594937
no2,corrida_2,120-nmol/mol,1,2,123.035443
no2,corrida_2,120-nmol/mol,1,3,123.0050633
no2,corrida_2,120-nmol/mol,1,4,122.2367089
no2,corrida_2,120-nmol/mol,1,5,122.743038
no2,corrida_2,120-nmol/mol,1,6,122.8582278
no2,corrida_2,120-nmol/mol,1,7,122.5518987
no2,corrida_2,120-nmol/mol,1,8,123.4012658
no2,corrida_2,120-nmol/mol,1,9,122.2974684
no2,corrida_2,120-nmol/mol,1,10,122.5506329
no2,corrida_2,120-nmol/mol,2,1,123.2835443
