"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",182.193509717638,0.23176401763475,-0.79616312051084,"Satisfactory",-0.740416662514368,"Satisfactory",-0.407445055089125,"Satisfactory",-0.203722527544563,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_2",182.184567656766,0.255321664472366,-0.869996311967481,"Satisfactory",-0.809080135856406,"Satisfactory",-0.405613621619898,"Satisfactory",-0.202806810809949,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_3",182.153429409608,0.2435425467513,-1.12709992563973,"Satisfactory",-1.04818163987162,"Satisfactory",-0.549972456854576,"Satisfactory",-0.274986228427288,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_4",182.19837917125,0.249216047910776,-0.755956807229855,"Satisfactory",-0.703025550662298,"Satisfactory",-0.360776531284555,"Satisfactory",-0.180388265642278,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_5",182.28733956729,0.251378969308003,-0.0214247964990488,"Satisfactory",-0.0199246560286501,"Satisfactory",-0.0101399897874196,"Satisfactory",-0.00506999489370981,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_6",182.262672900624,0.243902474301884,-0.225093587008297,"Satisfactory",-0.209332783888728,"Satisfactory",-0.109679157252178,"Satisfactory",-0.0548395786260892,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_1",182.193509717638,0.23176401763475,-0.0609279002151538,"Satisfactory",-0.0542699151368496,"Satisfactory",-0.0104647673836529,"Satisfactory",-0.00523238369182644,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_2",182.184567656766,0.255321664472366,-0.284698793616812,"Satisfactory",-0.253587918089864,"Satisfactory",-0.0444171997184509,"Satisfactory",-0.0222085998592255,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_3",182.153429409608,0.2435425467513,-1.06391887327462,"Satisfactory",-0.947657588087137,"Satisfactory",-0.173960466583836,"Satisfactory",-0.086980233291918,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_4",182.19837917125,0.249216047910776,0.0609279002151538,"Satisfactory",0.0542699151368496,"Satisfactory",0.00973699984271856,"Satisfactory",0.00486849992135928,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_5",182.28733956729,0.251378969308003,2.28712022687187,"Questionable",2.03719183135803,"Questionable",0.362384620254664,"Satisfactory",0.181192310127332,"Satisfactory","a4 - Questionable but Acceptable","a4","a4 - Questionable but Acceptable","a4"
"Consenso MADe (2a)","part_6",182.262672900624,0.243902474301884,1.66984842389076,"Satisfactory",1.48737330411749,"Satisfactory",0.272635369916117,"Satisfactory",0.136317684958058,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_1",182.193509717638,0.23176401763475,-0.0549265032855622,"Satisfactory",-0.0489243296017932,"Satisfactory",-0.0104555157193469,"Satisfactory",-0.00522775785967347,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_2",182.184567656766,0.255321664472366,-0.256655968247206,"Satisfactory",-0.228609513325678,"Satisfactory",-0.0443847921431602,"Satisfactory",-0.0221923960715801,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_3",182.153429409608,0.2435425467513,-0.959122885937827,"Satisfactory",-0.854313334972111,"Satisfactory",-0.173821069982127,"Satisfactory",-0.0869105349910637,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_4",182.19837917125,0.249216047910776,0.0549265032855622,"Satisfactory",0.0489243296017932,"Satisfactory",0.0097295459365234,"Satisfactory",0.0048647729682617,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_5",182.28733956729,0.251378969308003,2.06183893113239,"Questionable",1.83652847748357,"Satisfactory",0.362111923087147,"Satisfactory",0.181055961543574,"Satisfactory","a4 - Questionable but Acceptable","a4","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_6",182.262672900624,0.243902474301884,1.50536838816603,"Satisfactory",1.34086706397191,"Satisfactory",0.272417543001256,"Satisfactory",0.136208771500628,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_1",182.193509717638,0.23176401763475,-0.358824316103437,"Satisfactory",-0.319613266093293,"Satisfactory",-0.0683504853936212,"Satisfactory",-0.0341752426968106,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_2",182.184567656766,0.255321664472366,-0.560414918606451,"Satisfactory",-0.499174761756062,"Satisfactory",-0.0969815751990244,"Satisfactory",-0.0484907875995122,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_3",182.153429409608,0.2435425467513,-1.26239828629452,"Satisfactory",-1.12444787403109,"Satisfactory",-0.228939671611899,"Satisfactory",-0.11446983580595,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_4",182.19837917125,0.249216047910776,-0.249046927928381,"Satisfactory",-0.221831961975357,"Satisfactory",-0.0441457010858078,"Satisfactory",-0.0220728505429039,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_5",182.28733956729,0.251378969308003,1.75648402203649,"Satisfactory",1.56454167103306,"Satisfactory",0.30869453634047,"Satisfactory",0.154347268170235,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_6",182.262672900624,0.243902474301884,1.20039653103413,"Satisfactory",1.06922145092386,"Satisfactory",0.217376961133447,"Satisfactory",0.108688480566723,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
